year,company,share_percent,,,
2005,Tuas Power Generation,23.2,,,
2005,Senoko Energy,31.7,,,
2005,YTL PowerSeraya,28.1,,,
2005,Keppel Merlimau Cogen,0.0,,,
2005,SembCorp Cogen,12.1,,,
2005,PacificLight Power,0.0,,,
2005,Taser Power,0.0,,,
2005,Others,4.8,,,
2006,Tuas Power Generation,25.3,,,
2006,Senoko Energy,31.3,,,
2006,YTL PowerSeraya,27.6,,,
2006,Keppel Merlimau Cogen,0.1,,,
2006,SembCorp Cogen,10.7,,,
2006,PacificLight Power,0.0,,,
2006,Taser Power,0.0,,,
2006,Others,5.0,,,
2007,Tuas Power Generation,23.9,,,
2007,Senoko Energy,29.0,,,
2007,YTL PowerSeraya,26.8,,,
2007,Keppel Merlimau Cogen,6.2,,,
2007,SembCorp Cogen,9.3,,,
2007,PacificLight Power,0.0,,,
2007,Taser Power,0.0,,,
2007,Others,4.9,,,
2008,Tuas Power Generation,23.6,,,
2008,Senoko Energy,27.0,,,
2008,YTL PowerSeraya,24.5,,,
2008,Keppel Merlimau Cogen,9.0,,,
2008,SembCorp Cogen,10.8,,,
2008,PacificLight Power,0.0,,,
2008,Taser Power,0.0,,,
2008,Others,5.1,,,
2009,Tuas Power Generation,23.7,,,
2009,Senoko Energy,25.7,,,
2009,YTL PowerSeraya,26.3,,,
2009,Keppel Merlimau Cogen,8.8,,,
2009,SembCorp Cogen,10.4,,,
2009,PacificLight Power,0.0,,,
2009,Taser Power,0.0,,,
2009,Others,5.3,,,
2010,Tuas Power Generation,24.6,,,
2010,Senoko Energy,25.0,,,
2010,YTL PowerSeraya,26.7,,,
2010,Keppel Merlimau Cogen,8.1,,,
2010,SembCorp Cogen,9.4,,,
2010,PacificLight Power,0.0,,,
2010,Taser Power,0.0,,,
2010,Others,6.2,,,
2011,Tuas Power Generation,26.3,,,
2011,Senoko Energy,24.1,,,
2011,YTL PowerSeraya,26.5,,,
2011,Keppel Merlimau Cogen,8.0,,,
2011,SembCorp Cogen,9.6,,,
2011,PacificLight Power,0.0,,,
2011,Taser Power,0.0,,,
2011,Others,5.5,,,
2012,Tuas Power Generation,24.5,,,
2012,Senoko Energy,26.3,,,
2012,YTL PowerSeraya,25.1,,,
2012,Keppel Merlimau Cogen,8.6,,,
2012,SembCorp Cogen,9.2,,,
2012,PacificLight Power,0.0,,,
2012,Taser Power,0.0,,,
2012,Others,6.4,,,
2013,Tuas Power Generation,20.1,,,
2013,Senoko Energy,26.2,,,
2013,YTL PowerSeraya,22.9,,,
2013,Keppel Merlimau Cogen,12.9,,,
2013,SembCorp Cogen,8.4,,,
2013,PacificLight Power,1.0,,,
2013,Taser Power,0.0,,,
2013,Others,8.5,,,
2014,Tuas Power Generation,21.3,,,
2014,Senoko Energy,22.4,,,
2014,YTL PowerSeraya,18.0,,,
2014,Keppel Merlimau Cogen,11.8,,,
2014,SembCorp Cogen,9.6,,,
2014,PacificLight Power,8.3,,,
2014,Taser Power,0.0,,,
2014,Others,8.6,,,
2015,Tuas Power Generation,21.0,,,
2015,Senoko Energy,20.1,,,
2015,YTL PowerSeraya,17.9,,,
2015,Keppel Merlimau Cogen,11.2,,,
2015,SembCorp Cogen,11.6,,,
2015,PacificLight Power,8.7,,,
2015,Taser Power,0.0,,,
2015,Others,9.5,,,
2016,Tuas Power Generation,21.0,,,
2016,Senoko Energy,19.2,,,
2016,YTL PowerSeraya,17.7,,,
2016,Keppel Merlimau Cogen,10.4,,,
2016,SembCorp Cogen,10.4,,,
2016,PacificLight Power,8.8,,,
2016,Taser Power,3.6,,,
2016,Others,9.0,,,
2017,Tuas Power Generation,21.4,,,
2017,Senoko Energy,17.4,,,
2017,YTL PowerSeraya,16.9,,,
2017,Keppel Merlimau Cogen,11.8,,,
2017,SembCorp Cogen,9.6,,,
2017,PacificLight Power,9.0,,,
2017,Taser Power,3.9,,,
2017,Others,10.0,,,
2018,Tuas Power Generation,20.6,,,
2018,Senoko Energy,17.3,,,
2018,YTL PowerSeraya,15.6,,,
2018,Keppel Merlimau Cogen,11.7,,,
2018,SembCorp Cogen,10.2,,,
2018,PacificLight Power,9.2,,,
2018,Taser Power,4.0,,,
2018,Others,11.4,,,
2019,Tuas Power Generation,20.4,,,
2019,Senoko Energy,17.3,,,
2019,YTL PowerSeraya,16.0,,,
2019,Keppel Merlimau Cogen,13.0,,,
2019,SembCorp Cogen,10.1,,,
2019,PacificLight Power,9.2,,,
2019,Taser Power,3.5,,,
2019,Others,10.5,,,
2020,Tuas Power Generation,21.0,,,
2020,Senoko Energy,17.4,,,
2020,YTL PowerSeraya,14.7,,,
2020,Keppel Merlimau Cogen,13.8,,,
2020,SembCorp Cogen,11.2,,,
2020,PacificLight Power,8.9,,,
2020,Taser Power,2.1,,,
2020,Others,10.8,,,
2021,Tuas Power Generation,18.9,,,
2021,Senoko Energy,18.0,,,
2021,YTL PowerSeraya,13.2,,,
2021,Keppel Merlimau Cogen,14.3,,,
2021,SembCorp Cogen,12.3,,,
2021,PacificLight Power,9.8,,,
2021,Taser Power,3.3,,,
2021,Others,10.2,,,
2022,Tuas Power Generation,22.9,,,
2022,Senoko Energy,17.9,,,
2022,YTL PowerSeraya,15.4,,,
2022,Keppel Merlimau Cogen,12.6,,,
2022,SembCorp Cogen,9.3,,,
2022,PacificLight Power,9.3,,,
2022,Taser Power,2.4,,,
2022,Others,10.1,,,
,,,,,
,,,,,
Data for 2022 is as at Jun 2022.,,,,,
