month,public_1-rm_2-rm,public_3-rm ,public_4-rm,public_5-rm_and_exec,private_apts_and_condo,private_landed_properties,others,
2005-01,1.1,6.6,16.0,17.4,5.9,1.0,0.6,
2005-02,1.1,6.5,15.8,17.2,6.0,1.0,0.6,
2005-03,1.0,6.5,15.9,17.5,5.9,1.0,0.5,
2005-04,1.1,6.6,16.1,17.7,6.1,1.0,0.5,
2005-05,1.0,6.2,15.6,17.1,5.9,0.9,0.5,
2005-06,1.0,6.3,15.7,17.1,5.9,0.9,0.5,
2005-07,1.0,6.1,15.4,16.8,5.7,0.9,0.5,
2005-08,1.0,6.4,15.9,17.4,6.1,0.9,0.6,
2005-09,1.0,6.3,16.1,17.6,6.4,1.0,0.6,
2005-10,1.0,6.2,15.8,17.4,6.2,0.9,0.6,
2005-11,1.0,6.3,16.3,17.7,6.4,0.9,0.6,
2005-12,1.0,6.0,15.3,16.6,6.0,0.9,0.6,
2006-01,1.0,6.0,15.4,16.7,6.2,0.9,0.6,
2006-02,1.0,6.3,15.7,17.2,6.7,1.0,0.7,
2006-03,1.0,6.4,16.1,17.7,6.7,0.9,0.6,
2006-04,1.0,6.2,15.7,17.3,6.5,0.9,0.7,
2006-05,1.0,6.0,15.2,16.7,6.5,0.9,0.7,
2006-06,1.0,6.2,15.8,17.3,6.7,0.9,0.8,
2006-07,1.0,5.9,15.2,16.7,6.3,0.9,0.8,
2006-08,1.0,6.2,16.1,17.7,6.8,0.9,1.0,
2006-09,1.0,6.4,16.5,18.1,7.0,0.9,0.9,
2006-10,1.0,6.2,16.1,17.7,6.9,0.9,1.0,
2006-11,1.0,6.3,16.5,18.1,7.0,0.9,1.0,
2006-12,1.0,6.0,15.5,16.8,6.6,0.9,1.0,
2007-01,1.0,6.2,15.9,17.3,7.1,0.9,1.1,
2007-02,1.1,6.3,16.0,17.5,7.3,0.9,1.1,
2007-03,1.0,6.1,15.9,17.6,7.2,0.9,1.0,
2007-04,1.0,6.3,16.3,17.8,7.2,0.9,1.0,
2007-05,1.0,6.0,15.8,17.4,7.2,0.9,1.1,
2007-06,1.0,6.0,15.5,17.0,6.9,0.9,1.0,
2007-07,1.0,5.9,15.4,16.8,6.7,0.9,1.1,
