year,price_electtariffs_inflatnadjusted_cent_per_kwh,price_tgtariffs_inflatnadjusted_cent_per_kwh,index_electtariffs,index_tgtariffs,index_electariffs_inflatadjusted,index_tgtariffs_inflatnadjusted
2005,22.6,20.4,74.9,84.6,95.9,108.3
2006,26.5,21.7,89.4,91.6,112.5,115.3
2007,24.9,21.1,85.7,91.1,105.5,112.1
2008,29.7,23.3,108.2,106.2,126.0,123.7
2009,23.9,19.2,86.9,87.6,101.2,102.1
2010,27.0,21.5,99.6,99.4,114.4,114.1
2011,29.2,21.3,110.3,100.4,123.9,112.8
2012,30.6,23.7,118.5,114.7,129.9,125.7
2013,28.3,22.7,111.4,112.0,120.0,120.7
2014,27.0,22.2,108.5,111.6,114.7,117.9
2015,22.8,19.3,92.2,97.5,96.9,102.5
2016,19.7,17.3,80.2,88.2,83.6,91.9
2017,21.2,18.2,87.6,93.8,90.0,96.4
2018,23.1,19.0,97.1,99.7,98.1,100.8
2019,23.6,18.8,100.0,100.0,100.0,100.0
2020,22.1,17.0,93.6,90.1,93.7,90.2
2021,22.5,18.1,96.3,96.6,95.6,95.9
2022,25.8,20.2,113.3,111.1,109.4,107.3
,,,,,,
Data for 2022 is as at Jun 2022.,,,,,,
