year,energy_costs_cent_per_kwh,grid_charges_cent_per_kwh,mkt_support_service_fees_cent_per_kwh,power_sys_ops_mkt_admin_fees_cent_per_kwh
2005,11.8,5.5,0.3,0.1
2006,15.3,5.4,0.3,0.1
2007,14.5,5.4,0.3,0.1
2008,19.9,5.2,0.3,0.1
2009,15.3,4.9,0.3,0.1
2010,18.3,4.9,0.2,0.1
2011,20.9,4.8,0.2,0.1
2012,22.8,4.8,0.2,0.1
2013,21.0,5.0,0.2,0.1
2014,20.2,5.1,0.2,0.1
2015,16.3,5.2,0.2,0.1
2016,13.3,5.3,0.2,0.1
2017,14.9,5.3,0.4,0.1
2018,17.1,5.3,0.4,0.1
2019,17.7,5.4,0.4,0.1
2020,16.2,5.4,0.4,0.1
2021,16.6,5.7,0.4,0.1
2022,20.5,5.8,0.4,0.1
,,,,
Data for 2022 is as at Jun 2022.,,,,
