month,avg_mthly_usep_sgd_per_mwh
2005-01,78.6
2005-02,83.6
2005-03,97.7
2005-04,99.8
2005-05,113.5
2005-06,113.8
2005-07,102.8
2005-08,103.4
2005-09,147.3
2005-10,141.6
2005-11,118.4
2005-12,117.2
2006-01,109.7
2006-02,106.7
2006-03,124.3
2006-04,127.4
2006-05,155
2006-06,136.1
2006-07,153.9
2006-08,167.4
2006-09,130.2
2006-10,143.7
2006-11,117.3
2006-12,114.2
2007-01,123.9
2007-02,126.9
2007-03,124.6
2007-04,114.2
2007-05,109.8
2007-06,117.5
2007-07,124.9
2007-08,120.4
2007-09,126.8
2007-10,126.4
2007-11,139.6
2007-12,140.2
2008-01,158.1
2008-02,149.3
2008-03,147
2008-04,173.4
2008-05,202.7
2008-06,185
2008-07,195
2008-08,199.6
2008-09,193.2
2008-10,171.8
2008-11,103.6
2008-12,67.7
2009-01,74
2009-02,95.7
2009-03,87.2
2009-04,199.1
2009-05,167.4
2009-06,189.6
2009-07,141.3
2009-08,161.7
2009-09,173.2
2009-10,191.5
2009-11,142.7
2009-12,148
2010-01,171.3
2010-02,195.6
2010-03,207.4
2010-04,162.6
2010-05,185.3
2010-06,172.8
2010-07,147.3
2010-08,144.2
2010-09,151.7
2010-10,162.1
2010-11,175.1
2010-12,172.5
2011-01,156.7
2011-02,164
2011-03,187
2011-04,215.3
2011-05,278.6
2011-06,236.2
2011-07,263.4
2011-08,258.6
2011-09,230.2
2011-10,186.5
2011-11,210.6
2011-12,187.2
2012-01,210.5
2012-02,228.3
2012-03,243.3
2012-04,245.6
2012-05,266.1
2012-06,247.8
2012-07,211
2012-08,212.2
2012-09,199.3
2012-10,194.4
2012-11,218.7
2012-12,193.6
2013-01,191.6
2013-02,166.4
2013-03,166.2
2013-04,179
2013-05,173.8
2013-06,201.4
2013-07,172.7
2013-08,199.6
2013-09,163.3
2013-10,159.4
2013-11,158.2
2013-12,146.9
2014-01,138.7
2014-02,142.9
2014-03,136
2014-04,150.1
2014-05,132.8
2014-06,141.7
2014-07,155.7
2014-08,140.5
2014-09,138
2014-10,136.7
2014-11,135.3
2014-12,92.6
2015-01,90.6
2015-02,93.3
2015-03,81.7
2015-04,98.1
2015-05,103.2
2015-06,107.8
2015-07,207
2015-08,102.4
2015-09,81.5
2015-10,66.9
2015-11,56.8
2015-12,60.7
2016-01,74.9
2016-02,49.1
2016-03,44.8
2016-04,43.6
2016-05,55.5
2016-06,49.1
2016-07,62.9
2016-08,67.1
2016-09,77.7
2016-10,71.9
2016-11,73
2016-12,88.4
2017-01,84.6
2017-02,84.7
2017-03,76.4
2017-04,82.7
2017-05,82.5
2017-06,84.1
2017-07,79.2
2017-08,73.4
2017-09,74.8
2017-10,77.6
2017-11,83.8
2017-12,87.4
2018-01,86.1
2018-02,98.6
2018-03,104.3
2018-04,103.3
2018-05,112.6
2018-06,110.7
2018-07,108.1
2018-08,112.9
2018-09,117.3
2018-10,154
2018-11,114.2
2018-12,100.4
2019-01,112.6
2019-02,115.2
2019-03,113.5
2019-04,99.6
2019-05,93.3
2019-06,89.8
2019-07,112.7
2019-08,93.3
2019-09,96
2019-10,94.4
2019-11,88.8
2019-12,71.2
2020-01,84.1
2020-02,88.6
2020-03,69.7
2020-04,55.2
2020-05,50
2020-06,46.9
2020-07,60.1
2020-08,67.9
2020-09,73.9
2020-10,67.4
2020-11,92.3
2020-12,84.7
2021-01,77.8
2021-02,92.9
2021-03,103.4
2021-04,97.9
2021-05,100.3
2021-06,100.6
2021-07,167
2021-08,136.6
2021-09,155.6
2021-10,491.2
2021-11,344.8
2021-12,475.1
2022-01,480.2
2022-02,261.7
2022-03,309.5
2022-04,365.5
2022-05,310.2
2022-06,215.3
