month,general_tariff,bulk_tariff_a,bulk_tariff_b
2007-01,16.8,15.8,15.3
2007-02,16.8,15.8,15.3
2007-03,16.8,15.8,15.3
2007-04,16.8,15.8,15.3
2007-05,16.8,15.8,15.3
2007-06,16.8,15.8,15.3
2007-07,16.8,15.8,15.3
2007-08,17.6,16.6,16.1
2007-09,17.6,16.6,16.1
2007-10,17.6,16.6,16.1
2007-11,18,17,16.5
2007-12,18,17,16.5
2008-01,18,17,16.5
2008-02,19.3,18.3,17.8
2008-03,19.3,18.3,17.8
2008-04,19.3,18.3,17.8
2008-05,19.3,18.3,17.8
2008-06,19.3,18.3,17.8
2008-07,19.3,18.3,17.8
2008-08,20.4,19.4,18.9
2008-09,21.2,20.2,19.7
2008-10,21.2,20.2,19.7
2008-11,21.2,20.2,19.7
2008-12,21.2,20.2,19.7
2009-01,21.2,20.2,19.7
2009-02,15.1,14.1,13.6
2009-03,15.1,14.1,13.6
2009-04,15.1,14.1,13.6
2009-05,15.1,14.1,13.6
2009-06,15.1,14.1,13.6
2009-07,15.1,14.1,13.6
2009-08,16.3,15.3,14.8
2009-09,16.3,15.3,14.8
2009-10,16.3,15.3,14.8
2009-11,18.5,17.5,17
2009-12,18.5,17.5,17
2010-01,18.5,17.5,17
2010-02,18.9,17.9,17.4
2010-03,18.9,17.9,17.4
2010-04,18.9,17.9,17.4
2010-05,18.9,17.9,17.4
2010-06,18.9,17.9,17.4
2010-07,18.9,17.9,17.4
2010-08,18.9,17.9,17.4
2010-09,18.9,17.9,17.4
2010-10,18.9,17.9,17.4
2010-11,18,17,16.5
2010-12,18,17,16.5
2011-01,18,17,16.5
2011-02,18,17,16.5
2011-03,18,17,16.5
2011-04,18,17,16.5
2011-05,18,17,16.5
2011-06,18,17,16.5
2011-07,18,17,16.5
2011-08,19.6,18.6,18.1
2011-09,19.6,18.6,18.1
2011-10,19.6,18.6,18.1
2011-11,21.2,20.2,19.7
2011-12,21.2,20.2,19.7
2012-01,21.2,20.2,19.7
2012-02,21.5,20.4,19.9
2012-03,21.5,20.4,19.9
2012-04,21.5,20.4,19.9
2012-05,22.2,21.2,20.7
2012-06,22.2,21.2,20.7
2012-07,22.2,21.2,20.7
2012-08,21.5,20.5,20.1
