Transacted Price,Area sqm,PropertyAge,Prior Transacted Price,No of years owned,GroundFloor,LowFloor,HighFloor,Penthouse,NewPurchaser,HDBPurchaser,PrivatePurchaser,WestRegion,NorthRegion,NorthEastRegion,East Region,CentralRegion,mrt_dist_meter,sch_dist_meter
868000,86,6.5,726165,5.6,0,1,0,0,0,1,0,0,0,1,0,0,1777.274177,275.4382334
1030000,134,14.3,563100,12.8,1,0,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
850000,150,12.8,574376,11.1,1,0,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
1130000,150,15.6,850000,2.8,1,0,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
900000,122,14.1,585150,12.3,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
560000,118,10.8,559000,9.2,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
910000,118,17.9,560000,7.1,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
730000,135,11.9,538792,10.2,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
630000,122,11.6,592800,10.1,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
635000,122,10,581400,9.5,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
1050000,122,14.4,635000,4.4,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
424000,121,9,552828,7.3,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
832000,121,13.3,424000,4.3,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
650000,122,10.2,566865,7.2,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
518000,127,9.5,623800,9,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
860000,121,20,385000,13.4,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
850000,121,13.4,554208,11.7,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
946086,121,17.8,850000,4.4,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
525000,122,4.4,581400,4,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
820000,121,13,588000,12.6,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
795000,122,12.9,575890,9.8,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
710000,117,12.5,536636,10.8,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
435000,116,8.3,566100,7.7,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
595000,116,10.7,435000,2.4,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
630000,116,10,566100,9.5,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
850000,116,20,630000,10,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
955000,121,20.7,538384,19,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
596000,121,11.5,545220,9.9,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
865000,121,18.4,596000,7,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
648000,121,10.2,599500,9.7,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
910000,122,13.9,607400,13.4,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
895000,122,20.1,910000,6.2,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
450000,120,7.9,542256,6.1,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
750000,120,12.4,450000,4.5,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
938000,120,14.3,750000,1.9,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
825000,117,13.3,550300,12.7,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
534952,116,1.7,569100,1.2,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
710000,116,12.2,534952,10.5,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
995000,117,15.3,550300,13.8,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
748000,121,12.3,599700,11.8,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
460000,121,8.3,536096,6.6,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
450000,122,9.3,596000,8.8,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
495000,121,7.9,602500,7.3,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
900000,121,17.6,495000,9.7,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
810000,122,12.7,599000,11.2,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
686888,116,12.1,572100,11.6,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
1023800,120,15.1,589500,14.6,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
838000,121,13,539088,11.3,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
865000,121,19,838000,6,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
1088000,122,15,599000,13.6,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
858000,122,12.9,613400,12.4,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
600000,122,11.4,571050,9.6,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
842000,122,13.1,600000,1.7,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
872000,121,19.9,565340,18.1,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
468000,116,9.3,575100,8.8,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
950008,127,20.2,644800,19.8,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
900000,117,13.9,556300,12.7,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
950000,120,20.6,592500,20.1,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
868000,121,18.6,542080,17,0,1,0,0,0,0,1,0,0,1,0,0,735.3040566,552.1320762
600000,122,11.1,619200,10.6,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
850000,122,12.8,600000,1.7,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
1030000,122,16.2,850000,3.4,0,1,0,0,0,1,0,0,0,1,0,0,735.3040566,552.1320762
