Project Name,Address,Floor,Area (sqm),Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Min(Floor),Max(Floor),LowFloorCutoff,TenureStart,PropertyAge,GroundFloor,LowFloor,HighFloor,Penthouse,NewPurchaser,HDBPurchaser,PrivatePurchaser,WestRegion,NorthRegion,NorthEastRegion,East Region,CentralRegion,Order,Order 2,Prior Transacted Price ($),Prior Sale Date,Profit ($),No of years owned,nearest_station_name,mrt_less_than_1,mrt_between_1_and_2,mrt_distance_grp,mrt_dist_meter,nearest_school_name,sch_distance_grp,sch_dist_meter,CPI at Resale Month,Floor_Level,Sale_Year
LUSH ACRES,1 Fernvale Close  #05-03,5,86,868000,10093,938,29/07/2019,99 Yrs From 13/02/2013,2016,Resale,HDB,28,79,797485,North East Region,Sengkang,1,25,12,13/02/2013,6.5,N,Y,N,N,N,Y,N,N,N,Y,N,N,2,2,726165,6/12/2013,141835,5.6,Sengkang,0,1,1-2KM,1777.274177,FERN GREEN PRIMARY SCHOOL,<1km,275.4382334,100.242,Bottom Half,2019
THE RIVERVALE,1 Rivervale Link  #01-01,1,134,1030000,7687,714,3/4/2012,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,14.3,Y,N,N,N,N,Y,N,N,N,Y,N,N,2,2,563100,15/06/1999,466900,12.8,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,96.199,Ground Floor,2012
THE RIVERVALE,1 Rivervale Link  #01-16,1,150,850000,5667,526,5/10/2010,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,12.8,Y,N,N,N,N,Y,N,N,N,Y,N,N,0,2,574376,14/09/1999,275624,11.1,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,88.97,Ground Floor,2010
THE RIVERVALE,1 Rivervale Link  #01-16,1,150,1130000,7533,700,11/7/2013,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,15.6,Y,N,N,N,N,N,Y,N,N,Y,N,N,0,3,850000,5/10/2010,280000,2.8,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,98.422,Ground Floor,2013
THE RIVERVALE,1 Rivervale Link  #02-01,2,122,900000,7377,685,27/01/2012,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,14.1,N,Y,N,N,N,N,Y,N,N,Y,N,N,2,2,585150,22/10/1999,314850,12.3,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,95.225,Bottom Half,2012
THE RIVERVALE,1 Rivervale Link  #02-08,2,118,560000,4746,441,15/10/2008,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,10.8,N,Y,N,N,N,Y,N,N,N,Y,N,N,0,2,559000,1/8/1999,1000,9.2,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,86.738,Bottom Half,2008
THE RIVERVALE,1 Rivervale Link  #02-08,2,118,910000,7712,716,20/11/2015,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,17.9,N,Y,N,N,N,N,Y,N,N,Y,N,N,0,3,560000,15/10/2008,350000,7.1,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,99.18,Bottom Half,2015
THE RIVERVALE,1 Rivervale Link  #02-16,2,135,730000,5407,502,22/10/2009,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,11.9,N,Y,N,N,N,N,Y,N,N,Y,N,N,2,2,538792,1/8/1999,191208,10.2,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,85.951,Bottom Half,2009
THE RIVERVALE,1 Rivervale Link  #03-01,3,122,630000,5164,480,23/07/2009,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,11.6,N,Y,N,N,N,Y,N,N,N,Y,N,N,2,2,592800,5/7/1999,37200,10.1,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,85.431,Bottom Half,2009
THE RIVERVALE,1 Rivervale Link  #03-02,3,122,635000,5205,484,30/12/2007,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,10,N,Y,N,N,N,N,Y,N,N,Y,N,N,0,2,581400,15/07/1998,53600,9.5,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,81.555,Bottom Half,2007
THE RIVERVALE,1 Rivervale Link  #03-02,3,122,1050000,8607,800,18/05/2012,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,14.4,N,Y,N,N,N,N,Y,N,N,Y,N,N,0,3,635000,30/12/2007,415000,4.4,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,96.4,Bottom Half,2012
THE RIVERVALE,1 Rivervale Link  #03-03,3,121,424000,3504,326,22/12/2006,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,1,16,8,18/12/1997,9,N,Y,N,N,N,Y,N,N,N,Y,N,N,0,2,552828,13/09/1999,-128828,7.3,Buangkok,1,0,<1km,735.3040566,NORTH VISTA PRIMARY SCHOOL,<1km,552.1320762,78.554,Bottom Half,2006
